,Image ID,Length [nm],Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
175,0,34.3,0.595,,,,,
176,0,21.8,0.594,,,,,
177,0,23.7,0.592,,,,,
178,0,73.4,0.591,,,,,
179,0,15.8,0.59,,,,,
180,0,52.6,0.59,,,,,
181,0,44.3,0.586,,,,,
182,0,26.8,0.584,,,,,
183,0,12.1,0.581,,,,,
184,0,36.7,0.581,,,,,
185,0,24.9,0.578,,,,,
186,0,21.8,0.577,,,,,
187,0,28.3,0.576,,,,,
188,0,22.8,0.572,,,,,
189,0,25.8,0.572,,,,,
190,0,32.3,0.57,,,,,
191,0,61.6,0.569,,,,,
192,0,38.0,0.567,,,,,
193,0,23.4,0.558,,,,,
194,0,41.7,0.558,,,,,
195,0,26.8,0.558,,,,,
196,0,20.3,0.556,,,,,
197,0,30.7,0.556,,,,,
198,0,16.1,0.554,,,,,
199,0,31.8,0.551,,,,,
200,0,10.5,0.55,,,,,
201,0,34.4,0.547,,,,,
202,0,34.3,0.545,,,,,
203,0,34.3,0.545,,,,,
204,0,138.5,0.545,,,,,
205,0,26.8,0.543,,,,,
206,0,27.8,0.542,,,,,
207,0,20.5,0.542,,,,,
208,0,28.4,0.54,,,,,
209,0,17.3,0.536,,,,,
210,0,24.3,0.532,,,,,
211,0,19.0,0.529,,,,,
212,0,20.4,0.529,,,,,
213,0,28.3,0.527,,,,,
214,0,24.4,0.525,,,,,
215,0,58.1,0.523,,,,,
216,0,21.3,0.521,,,,,
217,0,33.8,0.521,,,,,
218,0,18.9,0.521,,,,,
219,0,20.9,0.519,,,,,
220,0,23.3,0.517,,,,,
221,0,44.7,0.515,,,,,
222,0,57.1,0.515,,,,,
223,0,28.2,0.514,,,,,
224,0,38.7,0.514,,,,,
225,0,16.3,0.509,,,,,
226,0,60.6,0.506,,,,,
227,0,28.9,0.506,,,,,
228,0,20.5,0.505,,,,,
229,0,18.7,0.505,,,,,
230,0,33.2,0.504,,,,,
231,0,12.6,0.504,,,,,
232,0,24.9,0.504,,,,,
233,0,28.4,0.504,,,,,
234,0,15.8,0.5,,,,,
235,0,18.2,0.499,,,,,
236,0,30.3,0.498,,,,,
237,0,26.8,0.495,,,,,
238,0,17.8,0.494,,,,,
239,0,98.4,0.494,,,,,
240,0,17.4,0.493,,,,,
241,0,31.4,0.492,,,,,
242,0,98.9,0.49,,,,,
243,0,19.3,0.49,,,,,
244,0,42.7,0.489,,,,,
245,0,21.2,0.489,,,,,
246,0,18.7,0.488,,,,,
247,0,13.1,0.48,,,,,
248,0,14.1,0.478,,,,,
249,0,34.1,0.478,,,,,
250,0,36.4,0.477,,,,,
251,0,44.3,0.476,,,,,
252,0,24.7,0.47,,,,,
253,0,32.8,0.47,,,,,
254,0,18.3,0.47,,,,,
255,0,18.2,0.469,,,,,
256,0,18.3,0.469,,,,,
257,0,39.4,0.469,,,,,
258,0,32.8,0.468,,,,,
259,0,16.1,0.464,,,,,
260,0,14.4,0.462,,,,,
